2.42,32.40,-4.90,-0.49,0.21,-0.04,-0.03,0.03,0.05831
2.42,32.40,-4.89,-0.28,0.32,0.21,-0.02,0.01,0.211187
2.46,32.40,-4.89,-0.31,0.26,0.21,0.00,-0.01,0.210238
2.42,32.40,-4.89,-0.39,0.22,0.21,0.00,-0.04,0.213776
2.43,32.40,-4.91,-0.49,0.15,-0.01,0.01,-0.04,0.042426
2.42,32.40,-4.89,-0.64,0.14,-0.01,-0.01,-0.02,0.024495
2.46,32.40,-4.90,-0.56,0.13,0.16,-0.03,-0.00,0.162788
2.44,32.40,-4.89,-0.49,0.23,-0.04,-0.03,0.04,0.064031
2.55,32.40,-4.89,-0.41,0.28,-0.16,-0.03,0.04,0.167631
2.61,32.40,-4.89,-0.33,0.30,0.04,-0.00,0.00,0.04
2.61,32.40,-4.88,-0.36,0.26,0.01,0.01,-0.02,0.024495
2.59,32.40,-4.90,-0.43,0.16,-0.04,0.02,-0.04,0.06
2.50,32.40,-4.90,-0.52,0.16,0.01,0.00,-0.04,0.041231
2.37,32.40,-4.91,-0.52,0.11,-0.15,-0.02,-0.00,0.151327
2.33,32.40,-4.88,-0.49,0.19,0.08,-0.05,0.01,0.094868
2.41,32.40,-4.87,-0.37,0.33,-0.55,-0.01,0.05,0.552359
2.49,32.40,-4.93,-0.23,0.31,-0.17,-0.01,0.02,0.171464
2.42,32.40,-4.91,-0.45,0.21,-0.24,0.01,0.00,0.240208
2.37,32.40,-4.89,-0.40,0.22,-0.06,0.01,-0.03,0.067823
2.39,32.40,-4.84,-0.54,0.10,-0.30,0.01,-0.01,0.300333
2.39,32.40,-4.73,-0.68,0.25,-0.06,-0.02,0.01,0.064031
2.39,32.40,-4.89,-0.45,0.13,-0.24,-0.03,0.04,0.245153
2.45,32.40,-4.89,-0.31,0.23,-0.27,-0.04,0.03,0.274591
2.52,32.40,-4.88,-0.36,0.17,-0.33,-0.03,0.01,0.331512
2.45,32.40,-4.91,-0.42,0.19,-0.22,-0.02,-0.01,0.221133
2.55,32.40,-4.90,-0.41,0.20,0.12,-0.01,-0.03,0.124097
2.52,32.40,-4.91,-0.50,0.17,-0.03,0.00,-0.01,0.031623
2.50,32.40,-4.90,-0.53,0.11,-0.01,0.01,0.00,0.014142
2.37,32.41,-4.90,-0.42,0.12,0.04,-0.00,0.01,0.041231
2.46,32.41,-4.90,-0.38,0.11,-0.03,-0.02,0.01,0.037417
2.41,32.41,-4.90,-0.38,0.13,0.03,-0.02,-0.01,0.037417
2.43,32.41,-4.90,-0.42,0.15,-0.04,-0.01,-0.02,0.045826
2.41,32.41,-4.88,-0.46,0.16,-0.01,-0.01,-0.03,0.033166
2.41,32.41,-4.90,-0.51,0.17,0.02,-0.02,-0.02,0.034641
2.40,32.41,-4.91,-0.54,0.13,-0.02,-0.01,0.01,0.024495
2.51,32.41,-4.90,-0.47,0.12,-0.09,-0.01,0.04,0.098995
2.66,32.41,-4.90,-0.41,0.12,-0.15,-0.02,0.04,0.156525
2.62,32.41,-4.89,-0.32,0.12,-0.35,-0.01,0.04,0.35242
2.63,32.41,-4.90,-0.30,0.13,-0.36,-0.02,0.01,0.360694
2.62,32.41,-4.91,-0.41,0.10,0.02,-0.03,-0.03,0.046904
2.59,32.41,-4.89,-0.50,0.19,-0.02,-0.01,-0.04,0.045826
2.59,32.41,-4.90,-0.45,0.20,0.02,0.00,-0.02,0.028284
2.44,32.41,-4.90,-0.52,0.16,0.22,0.01,-0.00,0.220227
2.50,32.41,-4.90,-0.46,0.01,-0.00,0.01,0.03,0.031623
2.55,32.41,-4.90,-0.35,0.06,-0.03,0.00,0.04,0.05
2.49,32.41,-4.91,-0.24,0.05,-0.10,-0.02,0.01,0.10247
2.68,32.41,-4.90,-0.50,0.20,-0.03,-0.01,-0.01,0.033166
2.71,32.41,-4.90,-0.43,0.16,0.17,0.01,0.00,0.170294
2.77,32.41,-4.91,-0.37,0.07,-0.00,0.02,0.01,0.022361
2.70,32.41,-4.89,-0.34,-0.02,-0.02,0.00,0.00,0.02
2.68,32.41,-4.91,-0.34,-0.01,0.01,-0.02,-0.01,0.024495
2.53,32.42,-4.92,-0.46,0.16,-0.19,-0.01,0.00,0.190263
2.54,32.42,-4.89,-0.40,0.19,0.09,-0.00,-0.00,0.09
2.60,32.42,-4.90,-0.41,0.11,0.09,0.01,-0.00,0.090554
2.54,32.42,-4.91,-0.40,0.05,0.03,0.01,-0.00,0.031623
2.60,32.42,-4.90,-0.36,0.04,0.04,-0.00,-0.01,0.041231
2.62,32.42,-4.90,-0.36,0.05,-0.03,-0.03,-0.01,0.043589
2.72,32.42,-4.90,-0.44,0.07,-0.02,-0.04,-0.01,0.045826
